# SYNTHETIC DEMONSTRATION DATA - NOT A REAL RESULT
rank,grid_ref,grid_ref_6fig,easting,northing,suitability_score,score_percentile,distance_to_nearest_known_site_m,nearest_known_site,within_coarse_record,patch_score,elevation_m,slope_deg,twi,flow_accumulation,peat_depth,distance_to_water_m,sphagnum_flag,base_richness,m_elevation,m_geology,m_lateral_flow,m_sphagnum,m_watercourse_proximity,m_wetness
11,SX 62555 89605,SX 625 896,262555.0,89605.0,0.9875,99.95,618.2,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.749,357.473,4.519,9.06,68.0,104.287,70.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
12,SX 62605 91865,SX 626 918,262605.0,91865.0,0.9875,99.95,2641.4,Raybarrow Pool area,,0.7078,371.007,3.638,9.415,78.0,97.18,140.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
13,SX 60285 86505,SX 602 865,260285.0,86505.0,0.9875,99.95,3278.5,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6644,409.234,4.495,9.228,80.0,108.199,30.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
14,SX 62075 85865,SX 620 858,262075.0,85865.0,0.9875,99.95,3157.4,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.657,452.49,4.863,9.362,99.0,100.821,40.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
15,SX 65765 88425,SX 657 884,265765.0,88425.0,0.9875,99.95,2044.7,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6402,408.58,4.905,8.948,66.0,112.162,20.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
16,SX 65255 89905,SX 652 899,265255.0,89905.0,0.9875,99.95,745.2,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6381,411.212,4.96,9.322,97.0,82.98,70.711,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
17,SX 60955 90145,SX 609 901,260955.0,90145.0,0.9875,99.95,1845.3,Steeperton Brook,,0.6218,372.869,3.512,9.437,77.0,104.196,41.231,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
18,SX 61305 91795,SX 613 917,261305.0,91795.0,0.9875,99.95,2999.4,Steeperton Brook,,0.6151,439.292,4.852,9.442,107.0,70.87,80.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
19,SX 60565 88725,SX 605 887,260565.0,88725.0,0.9875,99.95,1862.2,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6111,474.856,4.532,9.012,65.0,98.088,70.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
20,SX 62905 89085,SX 629 890,262905.0,89085.0,0.9875,99.95,505.4,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6089,429.093,4.578,9.047,68.0,108.29,143.178,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
21,SX 62095 86125,SX 620 861,262095.0,86125.0,0.9875,99.95,2896.7,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6054,442.781,4.991,9.356,101.0,106.457,50.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
22,SX 60775 89965,SX 607 899,260775.0,89965.0,0.9875,99.95,1892.6,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.5896,405.626,4.458,9.223,79.0,86.022,92.195,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
23,SX 62405 88245,SX 624 882,262405.0,88245.0,0.9875,99.95,760.0,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.5793,460.33,4.623,9.471,105.0,116.128,30.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
24,SX 60845 89415,SX 608 894,260845.0,89415.0,0.9875,99.95,1613.9,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.5716,457.034,4.251,9.178,72.0,103.788,70.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
25,SX 65315 89545,SX 653 895,265315.0,89545.0,0.9875,99.95,938.5,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.5324,461.209,2.945,9.444,65.0,93.138,104.403,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0
26,SX 62525 92275,SX 625 922,262525.0,92275.0,0.9873,99.91,2991.1,Raybarrow Pool area,,0.625,370.324,3.545,9.227,63.0,112.081,120.0,1.0,1.0,1.0,0.75,0.9992,1.0,1.0,1.0
27,SX 64045 90195,SX 640 901,264045.0,90195.0,0.9868,99.91,500.5,Raybarrow Pool area,,0.6666,336.036,3.679,9.206,64.0,116.118,134.164,1.0,1.0,0.9929,0.75,1.0,1.0,1.0,1.0
28,SX 66515 86005,SX 665 860,266515.0,86005.0,0.9868,99.91,4508.4,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.5662,475.214,4.718,9.402,100.0,84.074,189.737,1.0,3.0,1.0,1.0,1.0,1.0,0.9117,1.0
29,SX 63635 89525,SX 636 895,263635.0,89525.0,0.9856,99.9,1032.4,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.7356,390.288,4.893,9.314,95.0,61.385,155.563,1.0,1.0,1.0,0.75,1.0,1.0,0.9876,1.0
30,SX 63325 89695,SX 633 896,263325.0,89695.0,0.9854,99.9,1149.2,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.5249,461.235,4.753,9.364,97.0,71.059,156.205,1.0,1.0,1.0,0.75,1.0,1.0,0.9862,1.0
31,SX 65095 91495,SX 650 914,265095.0,91495.0,0.9826,99.88,1553.7,Raybarrow Pool area,,0.7291,360.113,4.416,9.527,106.0,70.803,161.245,1.0,1.0,1.0,0.75,1.0,1.0,0.975,0.9923
32,SX 65495 89765,SX 654 897,265495.0,89765.0,0.982,99.87,1012.0,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6587,443.833,3.665,9.161,61.0,80.344,117.047,1.0,1.0,1.0,0.75,0.9817,1.0,1.0,1.0
33,SX 62275 87625,SX 622 876,262275.0,87625.0,0.982,99.87,1386.2,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6267,435.086,4.73,8.906,61.0,87.879,50.0,1.0,1.0,1.0,0.75,0.9817,1.0,1.0,1.0
34,SX 65755 88985,SX 657 889,265755.0,88985.0,0.9814,99.87,1627.8,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.7857,376.777,4.164,9.066,63.0,123.09,167.631,1.0,1.0,1.0,0.75,0.9992,1.0,0.9608,1.0
35,SX 66155 86925,SX 661 869,266155.0,86925.0,0.9814,99.87,3525.0,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6315,453.188,4.953,9.105,78.0,104.286,205.913,1.0,3.0,1.0,1.0,1.0,1.0,0.8757,1.0
36,SX 60195 87115,SX 601 871,260195.0,87115.0,0.9797,99.85,2908.7,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.5106,466.561,4.867,9.671,135.0,78.508,151.327,1.0,1.0,1.0,0.75,1.0,1.0,0.9971,0.9511
37,SX 62425 88505,SX 624 885,262425.0,88505.0,0.9782,99.84,500.4,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6373,461.835,2.658,9.716,77.0,124.54,53.852,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.9382
38,SX 65675 89345,SX 656 893,265675.0,89345.0,0.9767,99.83,1349.8,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6698,442.477,4.642,9.104,73.0,78.089,182.483,1.0,1.0,1.0,0.75,1.0,1.0,0.9278,1.0
39,SX 64565 90545,SX 645 905,264565.0,90545.0,0.9753,99.81,496.7,Raybarrow Pool area,,0.7713,318.794,3.167,9.445,70.0,85.646,136.015,1.0,1.0,0.878,0.75,1.0,1.0,1.0,1.0
40,SX 66095 88175,SX 660 881,266095.0,88175.0,0.975,99.8,2446.2,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.6154,443.501,4.766,8.93,63.0,93.17,186.815,1.0,1.0,1.0,0.75,0.9992,1.0,0.9182,1.0
41,SX 62485 90325,SX 624 903,262485.0,90325.0,0.9741,99.79,1322.4,Steeperton Brook,,0.7913,359.537,4.297,9.357,87.0,62.406,190.263,1.0,1.0,1.0,0.75,1.0,1.0,0.9105,1.0
42,SX 60365 86905,SX 603 869,260365.0,86905.0,0.9724,99.77,2928.4,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6705,422.063,4.813,9.852,160.0,111.28,41.231,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.8994
43,SX 66225 86655,SX 662 866,266225.0,86655.0,0.972,99.76,3797.3,Raybarrow Pool area,Unnamed SX68 site (annual monitoring 1994-2012),0.7754,450.894,4.666,9.178,79.0,95.883,234.094,1.0,3.0,1.0,1.0,1.0,1.0,0.8131,1.0
44,SX 65125 90575,SX 651 905,265125.0,90575.0,0.9716,99.75,798.0,Raybarrow Pool area,,0.684,343.88,3.733,9.175,63.0,89.194,196.977,1.0,1.0,1.0,0.75,0.9992,1.0,0.8956,1.0
45,SX 65585 91835,SX 655 918,265585.0,91835.0,0.9711,99.75,2076.5,Raybarrow Pool area,,0.6131,430.503,3.664,9.54,89.0,95.609,194.165,1.0,1.0,1.0,0.75,1.0,1.0,0.9019,0.9887
46,SX 64855 90885,SX 648 908,264855.0,90885.0,0.9679,99.7,898.2,Raybarrow Pool area,,0.8017,307.64,4.261,9.306,82.0,81.347,147.648,1.0,1.0,0.8036,0.75,1.0,1.0,1.0,1.0
47,SX 62395 92055,SX 623 920,262395.0,92055.0,0.9668,99.68,2924.5,Raybarrow Pool area,,0.5626,385.904,4.537,9.984,172.0,95.101,40.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.8617
48,SX 62905 90315,SX 629 903,262905.0,90315.0,0.9655,99.66,1401.8,Steeperton Brook,,0.7372,350.162,4.656,9.167,78.0,74.196,215.87,1.0,1.0,1.0,0.75,1.0,1.0,0.8536,1.0
49,SX 65455 91385,SX 654 913,265455.0,91385.0,0.9626,99.6,1627.6,Raybarrow Pool area,,0.5506,429.37,4.443,9.645,120.0,78.136,205.913,1.0,1.0,1.0,0.75,1.0,1.0,0.8757,0.9586
50,SX 62125 87345,SX 621 873,262125.0,87345.0,0.9614,99.58,1683.6,Steeperton Brook,Unnamed SX68 site (annual monitoring 1994-2012),0.6063,445.249,3.543,10.108,152.0,106.457,143.178,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.8262
